name,sku,_type,visibility,_category,brands,description,specifications,resources,Main Image,2nd Image,3rd Image,4th Image,5th Image,options_1,options_2,options_3,price,short_description,weight,quantity
ResMed Quattro™ Air for Her Full Face CPAP Mask & Headgear,6274x,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<li>Eliminate mask weight, only 3.3 ounces</li>
<li>Simple use with only 4 parts</li>
<li>Cleaning made easy and simple</li>
<li>SpringAir&#x2122; dual-wall cushion for added seal and comfort</li>
<li>SofEdge&#x2122; headgear eliminates redness and marks with proper fit</li>

</ul>
</div>



Eliminate the heaviness, get the compliance, and sleep with the comfort found in the new ResMed Quattro Air&#x2122; for Her Full Face CPAP Mask and Headgear. ResMed delivers yet another innovative and stylish CPAP mask to the market that will change CPAP therapy. The 3.3 ounces of lightweight comfort of the ResMed Quattro Air&#x2122; for Her Full Face Mask can replace the heaviness and bulkiness found in other masks. Only four components make up this revolutionary CPAP mask from ResMed, which means the mask easy to use, disassemble, clean, and reassemble. 
 <br><br>
Effortless use and meaningful comfort translates into more compliant therapy with the new ResMed Quattro Air&#x2122; for Her Full Face Mask and Headgear.  Comfort has always been the number one obstacle during CPAP therapy. CPAP wearers have always criticized the mask&#x2019;s weight, the bulkiness, the lack of vision, the parts and more when trying to acclimate to therapy.  Well, ResMed has addressed these issues and much more with the introduction of the Quattro Air&#x2122; for Her CPAP Mask and Headgear.  The line of vision is clear enabling the wearer to wear the mask while watching television, reading, or whatever it takes to get prepared for therapy. Freedom in all aspects of therapy using the ResMed Quattro Air&#x2122; for Her Full Face CPAP Mask and Headgear is not just a statement but reality.
<br><br>

<br><br>
<b><center>Features</center></b><br><br>
<b>Spring Air&#x2122; Cushion &amp; SoftEdge&#x2122; Headgear</b><br><br>
The ResMed Quattro Air&#x2122; for Her Full Face CPAP Mask cushion has the added benefit to protect against leaks with the dual-wall technology while delivering noticeable comfort to the user.  A quality seal with a soft touch cushion. The ResMed Quattro Air&#x2122; for Her cushion detaches from and reattaches to the frame with ease for a simple one step approach. The CPAP user will not be disappointed in the feel, use, or comfort with the SpingAir&#x2122; cushion for the Quattro Air&amp;trade For Her Full Face Mask.

<br><br>
The headgear on the ResMed Quattro Air&#x2122; for Her is pretty in pink but don&#x2019;t let the color fool you. The quality and comfort are on a level above most headgear available on the market today. Reducing or even eliminating redness and marks left on the face after therapy can be done with the ResMed Quattro Air&amp;trade for Her headgear. <br>

Get on board, make the change to the newest advancement in CPAP Mask technology.  Try the ResMed Quattro Air&#x2122; for Her Mask Full Face CPAP Mask and headgear.
<br><br>


<b>Please choose a size when ordering. Sizes available are:</b><br><br>62740 &#x2013; Extra Small<br>
62741 &#x2013; Small<br>
62742 &#x2013; Medium <br>

<center><img src=""/Images/Logos/ResMed%20Logo.jpg"" alt=""ResMed CPAP machines, masks, and supplies""></center><br><br>
<script type=""text/javascript"">rmad_unit=""h1"";</script>
<center><script type=""text/javascript"" src=""//rmdassets.com/sop/dealer_comm/2013_4/ad.js""></script>
<p class=""clear""></p></center>
</div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7030, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">CPAP Mask, Headgear, User Guide, carrying bag</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">No</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<ul>
<li><a href=""/PDFs/quattro-air-product-quide-resmed.pdf"" target=""_blank"">Product Guide</a></li>
<br>


<br>
<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/OUbOnK17JOs"" frameborder=""0"" allowfullscreen></iframe>

</ul>",2D7B955064D5A62012537A446E51B4EC6F2A86FF.jpg,F117E2AC853E403C428CD3BCD59AE84DED998B6E.jpg,243F7057F68A6AEB3ECEC8C53C4DDB588BC38C72.jpg,257D9083891649DB65336C6A5FF5634DD905D5ED.jpg,,,,,,,,999
ResMed Quattro™ Air for Her Full Face CPAP Mask & Headgear,62740,simple,0,,,,,,,,,,,62740 - Extra Small,,,,,,999
ResMed Quattro™ Air for Her Full Face CPAP Mask & Headgear,62741,simple,0,,,,,,,,,,,62741 - Small,,,,,,999
ResMed Quattro™ Air for Her Full Face CPAP Mask & Headgear,62742,simple,0,,,,,,,,,,,62742 - Medium,,,,,,999
ResMed Mirage™ FX for Her Nasal CPAP Mask & Headgear,621xx,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<li> One Size Fits Most &#x2013; Never before has CPAP mask sizing been this effortless.</li>
<li> For Her Design &#x2013; A smaller CPAP headgear size and pink color make this design friendlier to female CPAP users.</li>
<li>Flexible, Winged Forehead Support &#x2013; Reduces contact with the forehead, eliminating pressure point pain or red marks.</li>
<li>Trusted Dual-Walled Mirage CPAP mask Cushion &#x2013; Building on the success of other Mirage masks, the Mirage FX has the proven Spring Air cushion design you will love.</li>
<li>Only 4 Parts &#x2013; No need for instructions to reassemble your mask after cleaning! With only 4 parts (the CPAP headgear, mask frame, cushion, and elbow), the Mirage FX CPAP Mask is very user-friendly.</li>
<li>New Squeeze Tab Elbow &#x2013; A long-needed feature, the new elbow design makes connecting and disconnecting the hose to the mask a simple task.</li>
<li>SoftEdge Headgear Design &#x2013; Kind to the face and head, the ResMed CPAP mask headgear design reduces red marks and headgear discomfort.</li>
<li>Diffuse Vent Design &#x2013; Some of the quietest CPAP masks available, the ResMed line incorporates a patented air vent design that quietly diffuses exhaled air.</li>
</ul>
</div>

The mask that so many CPAP users have been waiting for and talking about, the ResMed Mirage FX Nasal CPAP Mask is now available. This ResMed nasal CPAP mask is a revolution in the CPAP world, with only four parts, a scaled-down forehead pad, and an innovative one-size-fits-most approach. The ResMed Mirage FX CPAP Mask is comfortable, lightweight, and easy to wear. It combines your favorite Mirage mask features with the newest CPAP mask technology available from ResMed.
<br><br>
One effortless fit, one simple solution, one mask for all &#x2013; this describes the appeal of the ResMed Mirage FX perfectly. In a time where CPAP treatment has become more and more complex, ResMed has taken a bold step by simplifying your mask design and sizing needs. With only four components, the ResMed Mirage FX Nasal CPAP Mask is easy to assemble, easy to fit, and, most importantly, easy to sleep in. 
<br><br>
This mask is the Mirage FX for Her CPAP Mask, a design built for the more petite head size generally seen in women. The same CPAP mask frame and cushion are used for this design (it does not incorporate a smaller cushion than the Standard size Mirage FX), but it includes a smaller, pink CPAP headgear that may work better for some women (especially those with below-average head size). This CPAP mask is also available in the standard <a href=""http://www.cpapsupplyusa.com/6210x-ResMed-Mirage-FX-Nasal-CPAP-Mask.aspx"">ResMed Mirage FX</a> model with can be purchased in two cushion sizes and with standard-sized headgear.
<br><br>
The winged, &#x201C;butterfly&#x201D; forehead support is new to the ResMed CPAP mask line. Reducing the possibility of pressure point pain or red spots in the morning, the forehead pad design in the Mirage FX CPAP mask is a welcome feature for many CPAP users. 
</div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">No</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<a href=""/pdfs/Mirage-FX-for-Her.pdf"" target=""_blank"">Product Guide</a>
<br><br>
<a href=""/pdfs/Mirage-FX-fitting-guide.pdf"" target=""_blank"">Fitting Guide</a><br><br>
<a href=""/PDFs/1016852_pressure-vs-flow_amer_eng.pdf"" target=""_blank"">Pressure vs Flow Rates for ResMed Masks </a>
<br><br>

<object style=""height: 390px; width: 640px""><param name=""movie"" value=""http://www.youtube.com/v/lc5Kp2m84hw?version=3""><param name=""allowFullScreen"" value=""true""><param name=""allowScriptAccess"" value=""always""><embed src=""http://www.youtube.com/v/lc5Kp2m84hw?version=3"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" allowscriptaccess=""always"" width=""640"" height=""390""></object>",7FC92702D2845ABB4BB0C5B73E7C44DDC561E063.jpg,4118B5CFC2164D8835C071D98C4A751BD2D7B4CD.jpg,52526A9C14AC6A75B069AEB27613624528444C07.jpg,,,,,,,,,999
ResMed Mirage™ FX for Her Nasal CPAP Mask & Headgear,62109,simple,0,,,,,,,,,,,62109 - Small ,,,,,,999
ResMed Mirage™ FX for Her Nasal CPAP Mask & Headgear,62128,simple,0,,,,,,,,,,,62128 - Standard ,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,6310x,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">

<div id=""quickfacts"">

<h2>Features</h2>

<ul>

<b><center>The ResMed Airfit&#x2122; F10 and AirFit&#x2122; F10 Full Face CPAP Mask </center></b>

<br><br>

<li>Lightweight and comfortable </li>   

<li>QuickAir&#x2122; - 50% quieter than most other masks on the market today</li>

<li>Simplistic design with minimal parts</li>

<li>Clear and unobstructed vision </li>

<li>Soft silicon cushion</li>

<li>Easy adjusting and comfortable headgear</li>

<li>Available in Extra Small, Small, Medium, and Large</li>

 

</ul>

</div>
<b>Simplistic Design</b><br><br>

Four parts make up the innovative and compliance driven ResMed AirFit&#x2122; F10 and AirFit&#x2122; F10 for Her Full Face CPAP Mask and Headgear. ResMed continues the to improve patient quality and PAP therapy care with their AirFit&#x2122; line of masks. <br><br>

PAP patient compliance is the ultimate goal for PAP therapy along with patient comfort and satisfaction. ResMed strives to meet those goals by continuously improving and/or developing new and forward thinking products and services. With the ResMed AirFit&#x2122; F10 and AitFit&#x2122; F10 for Her Full Face CPAP mask and Headgear compliance and comfort are both covered in every aspect of the CPAP mask design.  <br><br>

<b>ResMed Spring Air&#x2122; Cushion</b><br><br>
Rest to your hearts content with this lightweight, barely there type of feel Full Face CPAP Mask from ResMed. The soft and pliable Spring Air&#x2122; cushion is a dual layer of complete silicone to optimal comfort. The dual layer ensures a better seal and less leaks therefore creating a more productive PAP therapy session. The ResMed AirFit&#x2122; F10 and AitFit&#x2122; F10 for Her Full Face CPAP mask and Headgear is the answer if you are looking for a mask that not only feels great but performs. <br><br>
<b>Lightweight Design</b><br><br>
Get the lightest, most compact Full Face Mask on the market to date. Weiging in at less than 5 ounces. Experience the comfort and elevated compliance users can get with the ResMed AirFit&#x2122; F10 and AirFit&#x2122; F10 for Her Full Face CPAP Mask. Order yours today and change PAP therapy.



<br><br>

<b>Sizes to Select when ordering:</b><br><br>



  
63101 - Small<br>
63102 - Medium<br>
63103 - Large<br>
63139 - Extra Small for Her<br>
63140 - Small for Her<br>
63141 - Medium for Her<br>

<br><br>

<script type=""text/javascript"">rmad_unit=""h1"";</script>

<script type=""text/javascript"" src=""http://www.rmdassets.com/sop/dealer_comm/2014_04/ad.js""></script>

<p class=""clear"">

</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7030, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">Full Face Mask in and Small, Medium, or Large, Headgear (Pink or Gray) carrying bag </span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>",,917DEC7D3ABDC714AEDF0BBB7BBAFA6B48B87E42.jpg,8413058D54BA4985134D276DD726D44B1726D249.jpg,E7A0CEF291EA658CCDAF5AB8261F86B071AAF5EB.jpg,0BB5E85B55111465BB3D625FBAC8740FA50AD690.jpg,2EC3D0B081E79C83B5D4971AE8894AEDC80B25C5.jpg,,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63101,simple,0,,,,,,,,,,,63101 - AirFit&trade; F10 Full Face Mask - Small,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63102,simple,0,,,,,,,,,,,63102 - AirFit&trade; F10 Full Face Mask - Medium,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63103,simple,0,,,,,,,,,,,63103 - AirFit&trade; F10 Full Face Mask - Large,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63139,simple,0,,,,,,,,,,,63139 - AirFit&trade; F10 Full Face Mask for Her - Extra Small,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63140,simple,0,,,,,,,,,,,63140 - AirFit&trade; F10 Full Face Mask for Her - Small,,,,,,999
ResMed AirFit™ F10 and AirFit™ F10 for Her Full Face CPAP Mask & Headgear,63141,simple,0,,,,,,,,,,,63141 - AirFit&trade; F10 Full Face Mask for Her - Medium,,,,,,999
ResMed Mirage Micro™ for Kids Nasal CPAP Mask & Headgear,61013,simple,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul><li>MicroFit dial fine-tunes fit to suit each user&apos;s profile.</li><li>Deep CPAP mask frame design accommodates a greater range of nasal structures.</li><li>Slender design for improved field of vision.</li><li>Vent design quietly disperses air.</li>
<li>Latex Free CPAP Mask</li>
<li>MicroFit dial is easily adjusted with one hand, even while lying down.</li><li>Fewer CPAP mask parts for easy cleaning and assembly.</li></ul>
</div>
The Mirage Micro CPAP mask for Kids makes it easy for both kids and parents. The Mirage Micro for Kids nasal CPAP mask from ResMed provides a personalized fit specially designed for children. Working with the proven Mirage dual-wall CPAP cushion, the CPAP mask&#x2019;s unique MicroFit dial fine-tunes the fit to suit each individual user. Intuitive to use for sleep professionals and users, the ResMed Mirage Micro CPAP mask is the benchmark in nasal masks.
<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">Nasal CPAP mask, headgear, and user instructions</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">No</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>",,650C137262604DC378A479F0CE6D233F1DB4EDD6.jpg,899589965D61B0CA60C2DA4708DACEF076CE3250.jpg,A71980CD7C55BC506C36962BC885A52D307B81D0.jpg,,,,,,,,,999
ResMed Quattro™FX for Her Full Face CPAP Mask & Headgear,6250x,configurable,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2>
<ul>
<li>Stylish pink headgear complements the user&#x2019;s style.</li>
<li>Clear line of sight - The smaller frame design allows the user to see well, without the normal obstruction in a full face design. The smaller style also makes side-sleeping more comfortable.</li>
<li>Built-in vent design - The proven ResMed vent design disperses air quietly and gently.</li>
<li>Flexible and durable mask frame - The Quattro FX has a sturdy enough design to remain stabilized on the face, but it is flexible enough to accommodate the user&apos;s movements during sleep.</li>
<li>360-degree elbow rotation - Allows ease of tubing positioning; avoid bothersome tubing snags or pulls while sleeping.</li>
<li>New, improved tension-reducing headgear design - Resolve pressure point pain with this new design by ResMed.</li>
<li>Dual-wall spring air cushion - A soft silicone cushion with two layers that inflates like a balloon to provide a comfortable and flexible seal around any face shape.</li>
<li>Set-and-forget headgear clips - Easy to release headgear clips on both sides of the mask ensure that mask removal is easy and adjustment-free.</li>
</ul>
</div>
The ResMed Quattro&#x2122; for Her is the newest line innovated lightweight full face CPAP masks. The mask is designed for complete comfort while allowing the user a clear field of vision. This ResMed full face CPAP mask builds on the proven platform of the original Mirage Quattro&#x2122;, adding new features to deliver an even more comfortable and lightweight full face CPAP mask solution.<br><br>
It&apos;s lightweight and unobtrusive design means not only is the mask more comfortable to sleep in, it&apos;s also easier fit, easier to clean, and easier to wear. <br><br>
Many CPAP users find the adjustment to a full face mask to be a bit more difficult due to the larger size of the mask and the area it covers on the face; the ResMed Quattro&#x2122; FX for Her lessens the anxiety that can come with wearing a full face mask. The minimal weight of the mask combined with the comfort design proven in ResMed masks and cushions means that problems associated with claustrophobia, tearing masks off while sleeping, non-compliance, and more can be relieved.<br><br>
The ResMed Quattro&#x2122; FX for Her Full Face CPAP mask has a built in quick release to allow CPAP users to get up during the night, without having to remove their CPAP mask, as well as having easy to release headgear clips that allow the mask to be removed quickly and without having to worry about readjusting headgear. <br><br>
This CPAP mask is excellent for mouth breathers, and can be used with CPAP and BiPAP therapy at any pressure setting. Replacement cushions are available for longevity of your ResMed Quattro&#x2122; FX  for Her CPAP Full Face mask.<br><br>

<b>Please choose a size when ordering. Sizes available are:</b><br>
60501 &#x2013; Small<br>
62502 &#x2013; Medium<br>
<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7030, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">CPAP Mask, Headgear, Instructions booklet</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<ul>
<li>
<a href=""/pdfs/quattro-fx-brochure.pdf"" target=""_blank"">Product Brochure</a>
</li>
</ul>
<br><br><br><br>
<iframe title=""YouTube video player"" class=""youtube-player"" type=""text/html"" width=""640"" height=""390"" src=""http://www.youtube.com/embed/GvfNUkKDqL8"" frameborder=""0"" allowfullscreen></iframe>",A28DD2E16A2ACA58BA82F9716C32AF1E9629B5A8.jpg,D1076025A1D0314C91EDA2F48EE7E3C351A1592E.jpg,A7CD64F0EEB153A8A5E0A4165C3EE3095679CF6E.jpg,D3E5B2096C15588B713600F2A2BD289AD3AF658E.jpg,3E587A068FB185F8166BEA45284C680983CFE4BB.jpg,,,,,,,999
ResMed Quattro™FX for Her Full Face CPAP Mask & Headgear,62501,simple,0,,,,,,,,,,,62501 - Small,,,,,,999
ResMed Quattro™FX for Her Full Face CPAP Mask & Headgear,62502,simple,0,,,,,,,,,,,62502 - Medium,,,,,,999
ResMed Mirage Swift™ II Nasal CPAP Mask Pillows & Headgear,60512,simple,1,Mask & Headgear,ResMed,"<div id=""Overview"">
<div id=""quickfacts"">
<h2>Features</h2><ul>
<li>Quieter Operation: Redesigned air vent boasts quieter operation by 86% over the previous Swift.</li>
<li>Multiple tube placement configurations.</li>
<li>Headgear easy to put on and remove.</li>
<li>Multiple pillow sizes included for the best possible fit.</li>
<li>Barrel shaped design ensures proper fit.</li>
<li>Indirect air vent allows air to be directed away from you and your bed partner.</li>
</ul>

</div>
The ResMed Mirage Swift II CPAP nasal interface is a major improvement over the previous Swift System.  The Mirage Swift II is 86% quieter, through an improved air vent, that also circulates air away from the patient and bed partner.  The Mirage Swift II also weighs less than 2.5 ounces and multiple tube placement options allow for even more comfort.
<br><br>
The ResMed Mirage Swift II design not only allows for maximum comfort, but is designed to prevent air leakage which is common amongst many CPAP users.  ResMed&apos;s Mirage Swift II pillows are designed to provide the least amount of nasal irritation and dryness often associated with CPAP nasal interfaces.  Replaceable pillows can be purchases separately to ensure longevity with the ResMed Mirage Swift II. This CPAP nasal interface can be used with both CPAP and BiPAP therapy, but is recommended for pressures between 4 and 12 cmH2O with BiPAP therapy.  This system is still popular with many CPAP users today.  The ResMed Mirage Swift II can be used with any CPAP manufactures machines.
<br><br>
<b>Sizes include:</b> Small, Medium, Large
<p class=""clear"">
</p></div>","<div>
	
    <ul class=""typedisplay""><li class=""alt""><span class=""productpropertylabel"">HCPCS Reimbursement Code:</span><span class=""productpropertyvalue"">A7034, A7035</span></li><li class=""alt""><span class=""productpropertylabel"">Included In Box:</span><span class=""productpropertyvalue"">CPAP Mask System, 3 Nasal Pillows (S, M, L)</span></li><li><span class=""productpropertylabel"">Brand/Manufacturer:</span><span class=""productpropertyvalue"">ResMed</span></li><li class=""alt""><span class=""productpropertylabel"">Prescription Required:</span><span class=""productpropertyvalue"">Yes</span></li><li class=""alt""><span class=""productpropertylabel"">Cushion Type:</span><span class=""productpropertyvalue"">Silicone</span></li><li class=""alt""><span class=""productpropertylabel"">Multiple Sizes Included:</span><span class=""productpropertyvalue"">Yes</span></li></ul>

</div> <br/> <div>
                                    <p>CPAP Supply USA is authorized to sell and ship ResMed products to end-users residing in the United States and having a valid US physician&apos;s order/prescription.  No 3<sup>rd</sup> party or B2B transactions permitted.</p>
                
                                    <p>Some images supplied by ResMed and used with permision. &#xA9;2010 ResMed</p>
    
                                    <p>All services provided by CPAP Supply USA, including advertisement, ordering, sale, delivery, instruction, and setup of the products, are performed solely by CPAP Supply USA and independently of the manufacturer.</p>
                                </div>","<a href=""/pdfs/resmed-mirage-swift-II-Brochure.pdf"" target=""_blank"">Product Brochure</a>
<br><br>
<a href=""/pdfs/mirage-swift-II-fitting.pdf"" target=""_blank"">Fitting Guide</a>
<br><br>
<a href=""/pdfs/mirage-swift-II-comparison-guide.pdf"" target=""_blank"">Comparison Guide</a>",FFFD75F3D57B57AC4FC94DD78A19F070341518FF.jpg,EF747E89706F812B4D17CBB23D6A557145971C4F.jpg,052FC27342D2679ADEF24CEC086E4ADE9AA5C6A1.jpg,8C8FDCAFE74B55E21270825A5E08EF734BE7F2DD.jpg,,,,,$149.99,,,999
